department_id,department_name,ministry_id,ministry_name,jurisdiction,document_count,pdf_count,validated_pdf_count,failed_pdf_count,unavailable_pdf_count,last_updated
481,Medical Education,88,NO MINISTRY,STATE,171,6,2,0,0,2026-08-19 21:27:46.257461
1426,Urban development,88,NO MINISTRY,STATE,927,0,0,0,0,2026-08-19 21:27:46.416153
1531,"Department of Environment & Climate Change, Haryana",67,NO MINISTRY,STATE,83,3,1,0,0,2026-08-19 21:27:46.171275
40,Department of Home,5,Ministry of Home Affairs,CENTRAL,350,3,1,0,0,2026-08-19 21:27:46.415575
1148,Urban Development and Housing Department,83,NO MINISTRY,STATE,555,0,0,0,0,2026-08-19 21:27:46.416153
1521,Skill Development Department,166,Govt of Maharashtra,STATE,99,6,2,0,0,2026-08-19 21:27:46.257461
1119,Home Department,83,NO MINISTRY,STATE,260,3,1,0,0,2026-08-19 21:27:46.414938
1110,"Disaster Management, Relief and Civil Defense Department",83,NO MINISTRY,STATE,58,0,0,0,0,2026-08-19 21:27:46.241210
88,Department of Investment and Public Asset Management,2,Ministry of Finance,CENTRAL,17,0,0,0,0,2026-08-19 21:27:46.170273
439,"Higher Technical Education and Skill Development Department, Government of Jharkhand",70,NO MINISTRY,STATE,562,0,0,0,0,2026-08-19 21:27:46.416153
127,FOREST DEPARTMENT,67,NO MINISTRY,STATE,351,3,1,0,0,2026-08-19 21:27:46.414298
911,Commissioner of Taxes,87,NO MINISTRY,STATE,264,6,2,0,0,2026-08-19 21:27:46.332164
115,TECHNICAL EDUCATION,67,NO MINISTRY,STATE,7,6,2,0,0,2026-08-19 21:27:38.956112
